"Oohah. The customer can benefit of this rule!","Oh là là. Le client peut bénéficier de cette règle!"
"Oops. The customer is not eligible for this rule!","Oups. Le client n'est pas éligible pour cette règle!"
"Make sure the rule and the customer exist and try again.","Assurez-vous que la règle et le client existent et réessayez."
"Something went wrong, please try again later.","Quelque chose a mal tourné, veuillez réessayer plus tard."
"Customer Id to test rule eligibility","ID client pour tester l'éligibilité à la règle"
"This feature allows you to manually test rule eligibility for a given customer ID. It checks various conditions such as customer group, cart attributes, and active promotions before determining if the rule is applicable.","Cette fonction vous permet de tester manuellement l'éligibilité d'une règle pour un ID de client donné. Elle vérifie diverses conditions telles que le groupe de clients, les attributs du panier et les promotions actives avant de déterminer si la règle est applicable."
"Validate","Valider"
"The rule '%1' is already expired, it ended %2.","La règle '%1' est déjà expirée, elle s'est terminée %2."
"No items in the cart meet the rule's action criteria (%1).","Aucun article dans le panier ne répond aux critères d'action de la règle (%1)."
"The cart does not meet the conditions of rule %1: %2.","Le panier ne répond pas aux conditions de la règle %1 : %2."
"The rule '%1' cannot be applied due to shipping address, customer or cart restrictions.","La règle '1' ne peut pas être appliquée en raison de restrictions liées à l'adresse d'expédition, au client ou au panier."

