"Oohah. The customer can benefit of this rule!","Eita. O cliente pode se beneficiar desta regra!"
"Oops. The customer is not eligible for this rule!","Oops. O cliente não é elegível para esta regra!"
"Make sure the rule and the customer exist and try again.","Certifique-se de que a regra e o cliente existam e tente novamente."
"Something went wrong, please try again later.","Algo deu errado, por favor tente novamente mais tarde."
"Customer Id to test rule eligibility","ID do cliente para testar a elegibilidade da regra"
"This feature allows you to manually test rule eligibility for a given customer ID. It checks various conditions such as customer group, cart attributes, and active promotions before determining if the rule is applicable.","Esta funcionalidade permite que você teste manualmente a elegibilidade da regra para um determinado ID de cliente. Verifica várias condições como grupo de clientes, atributos do carrinho e promoções ativas antes de determinar se a regra é aplicável."
"Validate","Validar"
"The rule '%1' is already expired, it ended %2.","A regra '%1' já expirou, terminou em %2."
"No items in the cart meet the rule's action criteria (%1).","Nenhum item no carrinho atende aos critérios de ação da regra (%1)."
"The cart does not meet the conditions of rule %1: %2.","O carrinho não atende às condições da regra %1: %2."
"The rule '%1' cannot be applied due to shipping address, customer or cart restrictions.","A regra '%1' não pode ser aplicada devido a restrições de endereço de entrega, cliente ou carrinho."
